"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-21","0.00","0.0","0.0","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-22","0.00","0.0","0.0","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-23","0.00","0.0","0.0","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-24","0.00","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-25","0.00","0.0","0.0","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-26","0.00","0.0","0.0","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-27","0.00","0.0","0.0","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-28","0.00","0.0","0.0","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-29","0.00","0.0","0.0","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-30","0.00","0.0","0.0","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-31","0.02","0.0","0.0","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-01","0.78","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-02","0.34","0.0","0.0","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-03","0.00","0.0","0.0","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-04","0.00","0.0","0.0","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-05","0.00","0.0","0.0","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-06","0.20","0.0","0.0","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-07","0.00","0.0","0.0","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-08","0.02","0.0","0.0","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-09","0.00","0.0","0.0","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-10","0.00","0.0","0.0","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-11","0.00","0.0","0.0","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-12","0.00","0.0","0.0","78"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-13","0.00","0.0","0.0","80"
